Year,Total Glacier Area (sq km)
2011,30.590157864752843
2012,30.094985396000055
2013,29.832179553963346
2014,29.806665079069095
2015,29.39454216975094
2016,29.16798924535214
2017,28.887691692268426
2018,28.655315275836863
2019,28.305207758394065
2020,27.97696143028744
2021,27.76830083265094
2022,27.387290031823213
